id,active,code,comment,description,enabled,godowndate,golivedate,name,openlmisaccessible,geographiczoneid,operatedbyid,typeid,extradata,location
e6799d64-d10d-4011-b8c2-0e4d4a3f65ce,true,HC01,,,true,,,Comfort Health Clinic,true,4df0cc89-8a71-450f-9c1a-29ceea1f14f3,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,
7938919f-6f61-4d1a-a4dc-923c31e9cd45,true,HF01,,,true,,,Kankao Health Facility,true,2c48a33f-a3c7-4540-be02-78d3d513f961,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(34.922379 -15.054833)
176c4276-1fb1-4507-8ad2-cdfba0f47445,true,HC02,,,true,,,Nandumbo Health Center,true,5abca1a8-6e6f-4a9d-bf42-8ed97b9ac365,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(35.225225 -14.851849)
5b39f0fb-5c47-4551-b983-1e30ac6df65d,true,HC03,,,true,,,Kalembo Health Center,true,a358a514-5246-4798-981c-6f0691a93e6c,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(35.170829 -14.84291)
bfe3eac5-9961-4d44-a492-431865bbcb23,true,HC04,,,true,,2018-01-01,Lilongwe Health Center,true,b7b344c4-4678-42ee-9f5c-be817f6145f1,,ac1d268b-ce10-455f-bf87-9c667da8f060,,
13037147-1769-4735-90a7-b9b310d128b8,true,DH01,,,true,,,Balaka District Hospital,true,bf2b810b-cdbf-48b2-b569-149b3cf42387,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,663b1d34-cc17-4d60-9619-e553e45aa441,,POINT(34.949166 -14.984722)
19121381-9f3d-4e77-b9e5-d3f59fc1639e,true,WH01,,,true,,,Ntcheu District Warehouse,true,f754e928-cfb3-4ab0-af68-3a9703e39b52,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,e2faaa9e-4b2d-4212-bb60-fd62970b2113,,POINT(34.638646 -14.817427)
9318b2ea-9ae0-42b2-a7e1-353683f54000,true,WH02,,,true,,,Balaka District Warehouse,true,bf2b810b-cdbf-48b2-b569-149b3cf42387,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,e2faaa9e-4b2d-4212-bb60-fd62970b2113,,POINT(34.961348 -14.985039)
749b9f83-487b-4b83-925a-c43632491782,true,WH03,,,true,,2018-01-01,Lilongwe District Warehouse,true,397beeda-8832-472f-b4d9-375adb38e674,,e2faaa9e-4b2d-4212-bb60-fd62970b2113,,
f085c1e1-b7cb-41f7-9903-581857983c6a,true,WH04,,,true,,2018-01-01,CHAZ Lilongwe District Warehouse,true,397beeda-8832-472f-b4d9-375adb38e674,,e2faaa9e-4b2d-4212-bb60-fd62970b2113,,
752a6979-cb5f-416b-b73b-527e2b6569c4,true,DS01,,,true,,2018-01-01,Lilongwe District Store,true,397beeda-8832-472f-b4d9-375adb38e674,,5fc213c6-1bd7-46f0-9883-57c05250ca90,,
e3f3a63f-823f-42e3-a55c-27406c842ec1,true,DS02,,,true,,2018-01-01,CHAZ Lilongwe District Store,true,397beeda-8832-472f-b4d9-375adb38e674,,5fc213c6-1bd7-46f0-9883-57c05250ca90,,
7fc9bda8-ad8a-468d-8244-38e1918527d5,true,N003,,,true,,2010-09-01,"Cuamba, Cuamba",true,9b8cfb5a-217a-4261-a64f-16ca06ae79fa,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(36.533773 -14.800088)
4774fc63-a0c8-4a29-a01d-5b6b48632175,true,N007,,,true,,2010-09-01,"Lurio, Cuamba",true,9b8cfb5a-217a-4261-a64f-16ca06ae79fa,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(36.852509 -14.78975)
a205764b-3998-4c89-afac-2bc9d737c8d3,true,N008,,,true,,2010-09-01,"Macaue-2, Cuamba",true,9b8cfb5a-217a-4261-a64f-16ca06ae79fa,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(36.533773 -14.800088)
0509f332-a77e-4bfc-921b-11c46a6bbfd2,true,N010,,,true,,2010-09-01,"Malapa, Cuamba",true,9b8cfb5a-217a-4261-a64f-16ca06ae79fa,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(36.533773 -14.800088)
19a94b68-e613-4996-9bea-94313e9fa34d,true,N014,,,true,,2010-09-01,"Matias, Cuamba",true,9b8cfb5a-217a-4261-a64f-16ca06ae79fa,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(36.55 -14.883333)
6115591d-6e74-4b7f-9f80-f19e42494c99,true,N016,,,true,,2010-09-01,"Meripo, Cuamba",true,9b8cfb5a-217a-4261-a64f-16ca06ae79fa,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(36.533773 -14.800088)
e21e24ea-2d60-4468-b410-133c51485402,true,N020,,,true,,2010-09-01,"Mitucue, Cuamba",true,9b8cfb5a-217a-4261-a64f-16ca06ae79fa,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(36.684444 -14.74)
5146de1c-f089-43ff-8016-3c9e8f36e014,true,N021,,,true,,2010-09-01,"Mpacura, Cuamba",true,9b8cfb5a-217a-4261-a64f-16ca06ae79fa,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(36.533773 -14.800088)
249fbafc-e934-4068-8452-d92381299c40,true,N023,,,true,,2010-09-01,"Muanamunepa, Cuamba",true,9b8cfb5a-217a-4261-a64f-16ca06ae79fa,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(36.533773 -14.800088)
6c0de27e-2705-4183-96fc-0905caa34dc2,true,N024,,,true,,2010-09-01,"Mucuapa, Cuamba",true,9b8cfb5a-217a-4261-a64f-16ca06ae79fa,9456c3e9-c4a6-4a28-9e08-47ceb16a4121,ac1d268b-ce10-455f-bf87-9c667da8f060,,POINT(36.533773 -14.800088)
